Thu Mar 25 19:09:40 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_lick_F04	lick	i	i	3.7431901630479842	0	0
v_cup_H04	cup	v	v	2.556437126128003	0	0
I_mean_F08	mean	I	i	0.11093941004946828	1	0
v_buck_F08	buck	v	v	1.2688506951089948	0	0
v_buck_F06	buck	v	v	2.167736442061141	0	0
I_leak_F07	leak	I	I	1.1525127021595836	0	0
A_mart_H08	mart	A	A	1.2000365569256246	0	0
A_part_H05	part	A	A	1.2701796989422292	0	0
i_chip_H05	chip	i	i	1.0224764270242304	0	0
i_min_F05	min	i	i	0.593534474959597	0	0
a_mat_F07	mat	a	a	1.2050248351879418	0	0
i_min_H09	min	i	i	1.0705261300317943	0	0
i_chip_H09	chip	i	i	1.3124130920041353	0	0
i_bin_H09	bin	i	i	0.8718555439263582	0	0
a_mat_H06	mat	a	a	1.3385167908854783	0	0
A_carp_H08	carp	A	A	1.1627885170746595	0	0
A_carp_F04	carp	A	A	0.5741099251899868	0	0
v_luck_H09	luck	v	v	1.196944406023249	0	0
A_mart_H05	mart	A	a	0.14833962894044816	1	0
I_bean_F05	bean	I	I	1.5934922848828137	0	0
a_mat_H07	mat	a	a	1.2283626270946115	0	0
i_lick_H09	lick	i	i	1.1309744059108198	0	0
i_bin_F05	bin	i	i	1.0227491620462388	0	0
v_buck_H06	buck	v	v	1.4396365170832723	0	0
v_cup_F04	cup	v	v	1.2247733110561967	0	0
a_back_H05	back	a	a	1.7524296340998262	0	0
A_mart_F06	mart	A	A	1.939145527081564	0	0
a_back_F07	back	a	a	2.085390267893672	0	0
a_mat_F06	mat	a	a	0.6518826221581548	0	0
a_lack_F05	lack	a	a	0.9797974650282413	0	0

#TotalErreurs#2#TempsTotal#1min 58sec
