Thu Mar 04 13:37:25 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_cart_H06	cart	A	A	2.142324924468994	0	0
A_barn_F04	barn	A	v	0.3207390308380127	1	0
a_cat_F04	cat	a	a	1.8416311740875244	0	0
v_cud_H04	cud	v	v	1.5302679538726807	0	0
v_cut_H08	cut	v	v	1.015242099761963	0	0
A_barn_H09	barn	A	v	0.16033482551574707	1	0
i_sick_H04	sick	i	i	2.962048053741455	0	0
A_card_F04	card	A	A	1.8380630016326904	0	0
i_sick_F09	sick	i	i	1.2431790828704834	0	0
a_pack_H04	pack	a	a	1.4560658931732178	0	0
v_cut_F05	cut	v	v	1.1253509521484375	0	0
i_did_H07	did	i	i	3.1540920734405518	0	0
v_cud_H09	cud	v	v	1.7959098815917969	0	0
a_pack_F06	pack	a	a	1.477513074874878	0	0
v_bun_F07	bun	v	v	1.601274013519287	0	0
i_kip_F08	kip	i	i	1.2224681377410889	0	0
I_deed_H05	deed	I	I	1.102036952972412	0	0
a_pack_H05	pack	a	a	1.5225911140441895	0	0
i_pick_F04	pick	i	i	1.5407631397247314	0	0
I_peak_H06	peak	I	i	0.1440739631652832	1	0
a_tat_H09	tat	a	v	1.4761099815368652	1	0
i_kip_H07	kip	i	i	2.060533046722412	0	0
A_cart_F07	cart	A	A	1.417863130569458	0	0
A_park_H06	park	A	A	1.8776211738586426	0	0
A_barn_F06	barn	A	A	0.9531140327453613	0	0
a_ban_H09	ban	a	a	1.7998628616333008	0	0
i_tick_F04	tick	i	i	1.5765771865844727	0	0
I_peak_F06	peak	I	I	1.1311848163604736	0	0
A_card_H08	card	A	A	1.3945789337158203	0	0
a_tat_H06	tat	a	a	1.0671360492706299	0	0

#TotalErreurs#4#TempsTotal#1min 43sec
