Thu Mar 04 11:05:28 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_leak_F06	leak	I	I	2.024435043334961	0	0
I_bean_H09	bean	I	I	1.3377981185913086	0	0
A_bark_H07	bark	A	A	2.4170539379119873	0	0
a_mat_F09	mat	a	a	2.1122350692749023	0	0
a_back_F06	back	a	a	2.3534538745880127	0	0
a_cap_F08	cap	a	v	1.6152458190917969	1	0
v_buck_H08	buck	v	v	1.5041658878326416	0	0
a_pat_F07	pat	a	a	2.126438856124878	0	0
i_chip_H07	chip	i	i	1.9446561336517334	0	0
A_lark_H09	lark	A	A	4.7868781089782715	0	0
A_bark_F09	bark	A	A	1.1802561283111572	0	0
a_pat_F06	pat	a	a	1.8732879161834717	0	0
i_bin_F08	bin	i	i	1.5381922721862793	0	0
a_mat_H07	mat	a	A	0.9372437000274658	1	0
i_bik_H09	bik	i	i	2.3008689880371094	0	0
a_lack_H06	lack	a	v	0.8921008110046387	1	0
v_cup_H07	cup	v	v	1.625053882598877	0	0
A_lark_F06	lark	A	v	0.9113039970397949	1	0
v_putt_F09	putt	v	v	1.4656531810760498	0	0
A_part_F08	part	A	A	1.9997150897979736	0	0
I_cheap_H06	cheap	I	i	0.9322390556335449	1	0
A_lark_F05	lark	A	A	2.168370008468628	0	0
v_mutt_F06	mutt	v	a	0.8255419731140137	1	0
i_bik_H04	bik	i	i	1.4411039352416992	0	0
I_beak_H08	beak	I	I	1.6125409603118896	0	0
a_lack_F07	lack	a	a	1.5735180377960205	0	0
I_mean_H09	mean	I	i	1.4219169616699219	1	0
v_buck_H06	buck	v	v	1.5535120964050293	0	0
i_lick_F07	lick	i	i	1.589648723602295	0	0
A_part_H05	part	A	a	0.7913761138916016	2	0

#TotalErreurs#9#TempsTotal#2min 21sec
