Thu Mar 11 14:28:43 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_barn_F08	barn	A	v	0.6962099075317383	2	2
a_cad_F09	cad	a	a	2.0904219150543213	0	0
I_teak_F09	teak	I	I	1.0912201404571533	0	0
i_kip_F04	kip	i	i	1.160008192062378	0	0
v_bun_F07	bun	v	v	1.1612160205841064	0	0
i_tick_F08	tick	i	I	1.1516077518463135	1	0
I_seek_H04	seek	I	I	1.4260270595550537	0	0
I_peak_F09	peak	I	I	1.3584141731262207	0	0
A_tart_H04	tart	A	A	2.203235149383545	0	0
A_cart_H08	cart	A	A	1.8364179134368896	0	0
v_puck_H09	puck	v	v	1.3992199897766113	0	0
I_seek_F06	seek	I	I	1.1268210411071777	0	0
a_tat_F08	tat	a	a	1.6334130764007568	0	0
v_bun_H09	bun	v	v	1.2752182483673096	0	0
a_pack_H05	pack	a	v	0.5424058437347412	1	1
i_kip_H06	kip	i	a	0.6290161609649658	2	0
I_peak_F04	peak	I	I	1.2656118869781494	0	0
v_cud_F07	cud	v	v	1.2370200157165527	0	0
a_tat_H06	tat	a	a	1.128607988357544	0	0
I_deed_F04	deed	I	I	0.9828131198883057	0	0
I_deed_H08	deed	I	I	1.1842176914215088	0	0
i_did_H08	did	i	i	1.286426067352295	0	0
A_cart_H07	cart	A	A	3.1734557151794434	0	0
I_seek_H09	seek	I	i	1.0408191680908203	1	0
i_pick_H05	pick	i	i	1.0190200805664062	0	0
a_tat_H08	tat	a	a	1.2954137325286865	0	0
I_keep_H07	keep	I	I	1.1794202327728271	0	0
i_sick_H04	sick	i	i	1.0406057834625244	0	0
a_cat_H04	cat	a	a	1.2212159633636475	0	0
A_barn_H09	barn	A	v	1.1990101337432861	1	0

#TotalErreurs#8#TempsTotal#1min 58sec
